BD+14_4559_b                  1.470000e+00                  2.689400e+02                  2009                          7.770000e-01                  8.600000e-01                  Radial_Velocity               
BD+15_2375_b                  1.061000e+00                  1.532200e+02                  2016                          5.760000e-01                  1.080000e+00                  Radial_Velocity               
BD+15_2940_b                  1.110000e+00                  1.374800e+02                  2013                          5.390000e-01                  1.100000e+00                  Radial_Velocity               
BD+20_2457_b                  2.142000e+01                  3.796300e+02                  2009                          1.450000e+00                  2.800000e+00                  Radial_Velocity               
BD+20_2457_c                  1.247000e+01                  6.219900e+02                  2009                          2.010000e+00                  2.800000e+00                  Radial_Velocity               
BD+20_274_b                   4.200000e+00                  5.782000e+02                  2012                          1.300000e+00                  8.000000e-01                  Radial_Velocity               
BD+20_594_b                   nan                           4.168864e+01                  2016                          nan                           9.600000e-01                  Transit                       
BD+45_564_b                   1.360000e+00                  3.078800e+02                  2021                          8.300000e-01                  8.100000e-01                  Radial_Velocity               
BD+48_738_b                   9.100000e-01                  3.926000e+02                  2011                          1.000000e+00                  7.400000e-01                  Radial_Velocity               
BD+48_740_b                   1.700000e+00                  7.330000e+02                  2018                          1.700000e+00                  1.090000e+00                  Radial_Velocity               
BD+49_828_b                   1.600000e+00                  2.590000e+03                  2015                          4.200000e+00                  1.520000e+00                  Radial_Velocity               
BD+55_362_b                   7.200000e-01                  2.655900e+02                  2021                          7.800000e-01                  9.100000e-01                  Radial_Velocity               
BD+60_1417_b                  1.500000e+01                  nan                           2021                          1.662000e+03                  1.000000e+00                  Imaging                       
BD+63_1405_b                  3.960000e+00                  1.198480e+03                  2021                          2.060000e+00                  8.200000e-01                  Radial_Velocity               
BD-00_4475_b                  2.505000e+01                  7.232000e+02                  2021                          1.480000e+00                  8.100000e-01                  Radial_Velocity               
BD-06_1339_b                  2.700000e-02                  3.872800e+00                  2013                          4.280000e-02                  7.000000e-01                  Radial_Velocity               
BD-06_1339_c                  1.700000e-01                  1.259400e+02                  2013                          4.350000e-01                  7.000000e-01                  Radial_Velocity               
BD-08_2823_b                  4.000000e-02                  5.600000e+00                  2009                          6.000000e-02                  5.000000e-01                  Radial_Velocity               
BD-08_2823_c                  3.300000e-01                  2.376000e+02                  2009                          6.800000e-01                  7.400000e-01                  Radial_Velocity               
BD-10_3166_b                  4.800000e-01                  3.487000e+00                  2000                          4.600000e-02                  1.100000e+00                  Radial_Velocity               
BD-11_4672_b                  6.500000e-01                  1.634000e+03                  2014                          2.360000e+00                  6.500000e-01                  Radial_Velocity               
BD-11_4672_c                  4.836000e-02                  7.420000e+01                  2020                          3.000000e-01                  6.500000e-01                  Radial_Velocity               
BD-13_2130_b                  9.780000e+00                  7.143000e+02                  2007                          1.660000e+00                  2.120000e+00                  Radial_Velocity               
BD-17_63_b                    5.100000e+00                  6.556000e+02                  2008                          1.340000e+00                  7.400000e-01                  Radial_Velocity               
CD_Cet_b                      1.243000e-02                  2.290700e+00                  2020                          1.850000e-02                  1.600000e-01                  Radial_Velocity               
CFBDSIR_J145829+101343_b      1.050000e+01                  1.003750e+04                  2011                          2.600000e+00                  2.000000e-02                  Imaging                       
CFHTWIR-Oph_98_b              7.800000e+00                  8.040000e+06                  2021                          2.000000e+02                  1.000000e-02                  Imaging                       
CHXR_73_b                     1.256900e+01                  nan                           2006                          2.100000e+02                  3.500000e-01                  Imaging                       
CI_Tau_b                      1.160000e+01                  8.989100e+00                  2019                          nan                           9.000000e-01                  Radial_Velocity               
COCONUTS-2_b                  6.300000e+00                  4.020000e+08                  2021                          7.506000e+03                  3.700000e-01                  Imaging                       
CT_Cha_b                      1.700000e+01                  nan                           2007                          4.400000e+02                  nan                           Imaging                       
CoRoT-1_b                     1.230000e+00                  1.508968e+00                  2008                          2.752000e-02                  1.220000e+00                  Transit                       
CoRoT-10_b                    2.730000e+00                  1.324060e+01                  2010                          1.055000e-01                  8.900000e-01                  Transit                       
CoRoT-11_b                    nan                           nan                           2010                          nan                           1.560000e+00                  Transit                       
CoRoT-12_b                    8.870000e-01                  2.828042e+00                  2010                          3.940000e-02                  1.020000e+00                  Transit                       
CoRoT-13_b                    1.331000e+00                  4.035190e+00                  2010                          5.107000e-02                  1.090000e+00                  Transit                       
CoRoT-14_b                    7.670000e+00                  1.512140e+00                  2010                          2.687000e-02                  1.120000e+00                  Transit                       
CoRoT-16_b                    5.290000e-01                  5.352270e+00                  2011                          6.180000e-02                  1.100000e+00                  Transit                       
CoRoT-17_b                    2.430000e+00                  3.768100e+00                  2011                          4.610000e-02                  1.040000e+00                  Transit                       
CoRoT-18_b                    3.460000e+00                  1.900069e+00                  2011                          2.950000e-02                  9.500000e-01                  Transit                       
CoRoT-19_b                    1.090000e+00                  3.897130e+00                  2011                          5.120000e-02                  1.180000e+00                  Transit                       
CoRoT-2_b                     3.300000e+00                  1.742997e+00                  2008                          2.810000e-02                  9.700000e-01                  Transit                       
CoRoT-20_b                    4.300000e+00                  9.242850e+00                  2011                          9.000000e-02                  1.140000e+00                  Transit                       
CoRoT-20_c                    1.700000e+01                  1.675000e+03                  2018                          2.900000e+00                  1.140000e+00                  Radial_Velocity               
CoRoT-21_b                    2.260000e+00                  2.724740e+00                  2012                          4.170000e-02                  1.290000e+00                  Transit                       
CoRoT-22_b                    3.800000e-02                  9.755980e+00                  2014                          9.200000e-02                  1.100000e+00                  Transit                       
CoRoT-23_b                    3.060000e+00                  3.631300e+00                  2011                          4.809000e-02                  1.120000e+00                  Transit                       
CoRoT-24_b                    1.800000e-02                  5.113400e+00                  2014                          5.600000e-02                  9.100000e-01                  Transit                       
CoRoT-24_c                    8.800000e-02                  1.175900e+01                  2014                          9.800000e-02                  9.100000e-01                  Transit                       
CoRoT-25_b                    2.700000e-01                  4.860690e+00                  2013                          5.780000e-02                  1.090000e+00                  Transit                       
CoRoT-26_b                    5.800000e-01                  4.204740e+00                  2013                          5.250000e-02                  1.090000e+00                  Transit                       
CoRoT-27_b                    1.030000e+01                  3.575320e+00                  2014                          4.670000e-02                  1.050000e+00                  Transit                       
CoRoT-28_b                    4.810000e-01                  5.208510e+00                  2015                          5.900000e-02                  1.010000e+00                  Transit                       
CoRoT-29_b                    8.400000e-01                  2.850570e+00                  2015                          3.900000e-02                  9.700000e-01                  Transit                       
CoRoT-3_b                     nan                           nan                           2008                          nan                           1.410000e+00                  Transit                       
CoRoT-30_b                    2.900000e+00                  9.060050e+00                  2020                          8.440000e-02                  9.800000e-01                  Transit                       
CoRoT-31_b                    8.400000e-01                  4.629410e+00                  2020                          5.860000e-02                  1.250000e+00                  Transit                       
CoRoT-4_b                     7.200000e-01                  9.202050e+00                  2008                          9.000000e-02                  1.160000e+00                  Transit                       
CoRoT-5_b                     4.670000e-01                  4.037896e+00                  2009                          4.947000e-02                  1.000000e+00                  Transit                       
CoRoT-6_b                     2.960000e+00                  8.886593e+00                  2009                          8.550000e-02                  1.050000e+00                  Transit                       
CoRoT-7_b                     1.510000e-02                  8.535850e-01                  2009                          1.700000e-02                  9.000000e-01                  Transit                       
CoRoT-7_c                     2.643000e-02                  3.698000e+00                  2009                          4.600000e-02                  9.000000e-01                  Radial_Velocity               
CoRoT-8_b                     2.200000e-01                  6.212290e+00                  2010                          6.300000e-02                  8.800000e-01                  Transit                       
CoRoT-9_b                     8.400000e-01                  9.527380e+01                  2009                          4.070000e-01                  9.900000e-01                  Transit                       
CoRoTID_223977153_b           1.500000e-01                  6.718370e+00                  2017                          7.100000e-02                  1.080000e+00                  Transit                       
DE_CVn_b                      1.202930e+01                  4.098100e+03                  2018                          5.750000e+00                  5.100000e-01                  Eclipse_Timing_Variations     
DENIS-P_J082303.1-491201_b    2.850000e+01                  2.463600e+02                  2013                          3.600000e-01                  7.000000e-02                  Astrometry                    
DH_Tau_b                      1.100000e+01                  nan                           2004                          3.300000e+02                  3.300000e-01                  Imaging                       
DMPP-1_b                      7.636000e-02                  1.857000e+01                  2019                          1.462000e-01                  1.210000e+00                  Radial_Velocity               
DMPP-1_c                      3.020000e-02                  6.584000e+00                  2019                          7.330000e-02                  1.210000e+00                  Radial_Velocity               
DMPP-1_d                      1.054000e-02                  2.882000e+00                  2019                          4.220000e-02                  1.210000e+00                  Radial_Velocity               
DMPP-1_e                      1.299000e-02                  5.516000e+00                  2019                          6.510000e-02                  1.210000e+00                  Radial_Velocity               
DMPP-2_b                      4.370000e-01                  5.207200e+00                  2019                          6.640000e-02                  1.440000e+00                  Radial_Velocity               
DMPP-3_A_b                    8.120000e-03                  6.673600e+00                  2019                          6.620000e-02                  nan                           Radial_Velocity               
DP_Leo_b                      6.280000e+00                  8.693000e+03                  2009                          8.600000e+00                  nan                           Eclipse_Timing_Variations     
DS_Tuc_A_b                    1.300000e+00                  8.138700e+00                  2019                          nan                           9.600000e-01                  Transit                       
EPIC_201170410.02             nan                           6.798700e+00                  2020                          3.490000e-02                  2.900000e-01                  Transit                       
EPIC_201238110_b              nan                           2.816560e+01                  2019                          nan                           4.100000e-01                  Transit                       
EPIC_201427007_b              nan                           7.209100e-01                  2021                          nan                           nan                           Transit                       
EPIC_201497682_b              nan                           2.131740e+00                  2019                          nan                           7.800000e-01                  Transit                       
EPIC_201595106_b              nan                           8.770300e-01                  2021                          nan                           1.020000e+00                  Transit                       
EPIC_201615463_c              nan                           3.804640e+00                  2019                          nan                           1.070000e+00                  Transit                       
EPIC_201754305_d              nan                           2.715780e+00                  2019                          nan                           6.700000e-01                  Transit                       
EPIC_201757695.02             nan                           2.047800e+00                  2020                          2.960000e-02                  7.300000e-01                  Transit                       
EPIC_201833600_c              nan                           3.961650e+00                  2019                          nan                           nan                           Transit                       
EPIC_201841433_b              nan                           4.168880e+00                  2019                          nan                           nan                           Transit                       
EPIC_205950854_c              nan                           8.046800e+00                  2019                          nan                           9.100000e-01                  Transit                       
EPIC_206024342_b              nan                           4.507560e+00                  2019                          nan                           9.300000e-01                  Transit                       
EPIC_206024342_c              nan                           9.116567e-01                  2021                          nan                           nan                           Transit                       
EPIC_206024342_d              nan                           1.464350e+01                  2021                          nan                           nan                           Transit                       
EPIC_206032309_b              nan                           2.878140e+00                  2019                          nan                           2.200000e-01                  Transit                       
EPIC_206042996_b              nan                           5.298530e+00                  2019                          nan                           nan                           Transit                       
EPIC_206042996_c              nan                           3.548840e-01                  2021                          nan                           nan                           Transit                       
EPIC_206215704_b              nan                           2.253720e+00                  2019                          nan                           4.100000e-01                  Transit                       
EPIC_206317286_b              nan                           1.582520e+00                  2019                          nan                           7.100000e-01                  Transit                       
EPIC_206317286_c              nan                           1.751250e+01                  2022                          nan                           nan                           Transit                       
EPIC_211822797_b              nan                           2.116986e+01                  2016                          1.310000e-01                  6.600000e-01                  Transit                       
EPIC_211945201_b              nan                           1.949100e+01                  2018                          nan                           1.160000e+00                  Transit                       
EPIC_212297394_b              nan                           2.289363e+00                  2019                          nan                           8.300000e-01                  Transit                       
EPIC_212297394_c              nan                           5.213000e+00                  2016                          nan                           8.300000e-01                  Transit                       
EPIC_212424622_b              nan                           1.809710e+01                  2019                          nan                           nan                           Transit                       
EPIC_212499991_b              nan                           3.488500e+01                  2019                          nan                           9.100000e-01                  Transit                       
EPIC_212587672_b              nan                           1.528410e+01                  2019                          nan                           nan                           Transit                       
EPIC_212587672_c              nan                           2.322600e+01                  2016                          nan                           1.130000e+00                  Transit                       
EPIC_212624936_b              nan                           5.786570e-01                  2021                          nan                           nan                           Transit                       
EPIC_212624936_c              nan                           1.181144e+01                  2021                          nan                           nan                           Transit                       
EPIC_212737443_b              nan                           1.360300e+01                  2019                          nan                           7.200000e-01                  Transit                       
EPIC_212737443_c              nan                           6.555000e+01                  2019                          2.800000e-01                  6.900000e-01                  Transit                       
EPIC_220492298_b              nan                           7.624060e-01                  2021                          nan                           nan                           Transit                       
EPIC_220554210_c              nan                           7.053100e-01                  2019                          nan                           nan                           Transit                       
EPIC_220674823_b              nan                           5.713080e-01                  2016                          nan                           9.300000e-01                  Transit                       
EPIC_220674823_c              nan                           1.333975e+01                  2016                          nan                           9.700000e-01                  Transit                       
EPIC_228836835_b              nan                           7.281130e-01                  2021                          nan                           nan                           Transit                       
EPIC_246851721_b              3.000000e+00                  6.180235e+00                  2018                          7.229000e-02                  1.320000e+00                  Transit                       
EPIC_248847494_b              1.300000e+01                  3.650000e+03                  2018                          4.500000e+00                  9.000000e-01                  Transit                       
EPIC_249893012_b              2.753000e-02                  3.595100e+00                  2020                          4.700000e-02                  1.050000e+00                  Transit                       
EPIC_249893012_c              4.616000e-02                  1.562400e+01                  2020                          1.300000e-01                  1.050000e+00                  Transit                       
EPIC_249893012_d              3.203000e-02                  3.574700e+01                  2020                          2.200000e-01                  1.050000e+00                  Transit                       
FU_Tau_b                      1.600000e+01                  nan                           2008                          8.000000e+02                  5.000000e-02                  Imaging                       
G_264-012_b                   7.870000e-03                  2.305380e+00                  2021                          2.279000e-02                  3.000000e-01                  Radial_Velocity               
G_264-012_c                   1.180000e-02                  8.051800e+00                  2021                          5.250000e-02                  3.000000e-01                  Radial_Velocity               
G_9-40_b                      nan                           5.746007e+00                  2019                          3.850000e-02                  2.900000e-01                  Transit                       
GJ_1061_b                     4.310000e-03                  3.204000e+00                  2020                          2.100000e-02                  1.200000e-01                  Radial_Velocity               
GJ_1061_c                     5.470000e-03                  6.689000e+00                  2020                          3.500000e-02                  1.200000e-01                  Radial_Velocity               
GJ_1061_d                     5.160000e-03                  1.303100e+01                  2020                          5.400000e-02                  1.200000e-01                  Radial_Velocity               
GJ_1132_b                     5.130000e-03                  1.628929e+00                  2015                          1.533000e-02                  1.800000e-01                  Transit                       
GJ_1132_c                     8.310000e-03                  8.929000e+00                  2018                          4.760000e-02                  1.800000e-01                  Radial_Velocity               
GJ_1148_b                     3.042500e-01                  4.138000e+01                  2010                          1.660000e-01                  3.400000e-01                  Radial_Velocity               
GJ_1148_c                     2.141400e-01                  5.325800e+02                  2017                          9.120000e-01                  3.400000e-01                  Radial_Velocity               
GJ_1151_b                     7.870000e-03                  2.018000e+00                  2021                          1.735000e-02                  nan                           Radial_Velocity               
GJ_1214_b                     2.571000e-02                  1.580404e+00                  2009                          1.490000e-02                  1.800000e-01                  Transit                       
GJ_1252_b                     6.580000e-03                  5.182349e-01                  2020                          9.160000e-03                  3.800000e-01                  Transit                       
GJ_1265_b                     2.328000e-02                  3.651100e+00                  2018                          2.600000e-02                  1.800000e-01                  Radial_Velocity               
GJ_143_b                      7.142000e-02                  3.561253e+01                  2019                          1.915000e-01                  7.300000e-01                  Transit                       
GJ_15_A_b                     9.530000e-03                  1.144070e+01                  2014                          7.200000e-02                  3.800000e-01                  Radial_Velocity               
GJ_15_A_c                     1.132700e-01                  7.600000e+03                  2018                          5.400000e+00                  3.800000e-01                  Radial_Velocity               
GJ_160.2_b                    3.209000e-02                  5.235400e+00                  2014                          5.300000e-02                  6.900000e-01                  Radial_Velocity               
GJ_163_b                      3.335000e-02                  8.631820e+00                  2013                          6.070000e-02                  nan                           Radial_Velocity               
GJ_163_c                      2.140000e-02                  2.563058e+01                  2013                          1.254000e-01                  nan                           Radial_Velocity               
GJ_163_d                      9.250000e-02                  6.039512e+02                  2013                          1.030400e+00                  nan                           Radial_Velocity               
GJ_179_b                      7.520000e-01                  2.333000e+03                  2009                          2.523000e+00                  3.900000e-01                  Radial_Velocity               
GJ_180_b                      2.611000e-02                  1.738000e+01                  2014                          1.030000e-01                  4.300000e-01                  Radial_Velocity               
GJ_180_c                      2.014000e-02                  2.432900e+01                  2014                          1.290000e-01                  4.300000e-01                  Radial_Velocity               
GJ_180_d                      2.379000e-02                  1.063000e+02                  2020                          3.090000e-01                  4.300000e-01                  Radial_Velocity               
GJ_2056_b                     5.097000e-02                  6.997100e+01                  2020                          2.830000e-01                  6.200000e-01                  Radial_Velocity               
GJ_229_A_c                    2.287000e-02                  1.219950e+02                  2020                          3.390000e-01                  5.800000e-01                  Radial_Velocity               
GJ_229_b                      2.667000e-02                  5.261150e+02                  2014                          8.980000e-01                  5.800000e-01                  Radial_Velocity               
GJ_251_b                      1.259000e-02                  1.423800e+01                  2020                          8.180000e-02                  3.600000e-01                  Radial_Velocity               
